"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl"
"ENSG00000067048.15",931.720133445587,7.69482268213503,0.303056949689448,25.3906821474319,3.19630182896031e-142,7.34574086331659e-138,"ENSG00000067048"
"ENSG00000012817.14",766.61774615024,7.124245345572,0.319391665689517,22.3056707825856,3.25519938372016e-110,3.48133516852755e-106,"ENSG00000012817"
"ENSG00000129824.14",3216.70437906935,7.17858225798566,0.322043279212425,22.2907376783062,4.54442846818495e-110,3.48133516852755e-106,"ENSG00000129824"
"ENSG00000114374.11",310.051449067986,6.9202952629414,0.317045692014193,21.8274382439223,1.27361261402966e-105,7.31754127390741e-102,"ENSG00000114374"
"ENSG00000067646.10",127.886023585624,6.79011803833003,0.312796606949328,21.7077739575033,1.73247635712991e-104,7.96315432791193e-101,"ENSG00000067646"
"ENSG00000198692.8",332.01506194131,6.91121424082498,0.319414051673341,21.637164065321,8.02921549430198e-104,3.07545717483414e-100,"ENSG00000198692"
"ENSG00000229807.8",2025.74265326737,-6.42576596491515,0.303528962138222,-21.1701905467227,1.79828948248471e-99,5.90404126949479e-96,"ENSG00000229807"
"ENSG00000099725.13",40.097329459729,6.18212322554602,0.299223112282368,20.6605805894838,7.84158233878057e-95,2.25269056637319e-91,"ENSG00000099725"
"ENSG00000131002.10",380.243895099558,6.76129175507843,0.328192152124506,20.6016253323248,2.65385115576346e-94,6.77675636241732e-91,"ENSG00000131002"
"ENSG00000183878.14",219.477933209984,6.5283458370269,0.324610174585783,20.11134076545,5.8715118426714e-90,1.34939085168274e-86,"ENSG00000183878"
"ENSG00000233864.6",94.101066619311,6.19678188845914,0.324032648624212,19.1239429568891,1.59575521449471e-81,3.33396784904704e-78,"ENSG00000233864"
"ENSG00000165246.11",152.131286027488,5.90970946300026,0.334553952933745,17.6644436904042,7.87856995243827e-70,1.50887745539114e-66,"ENSG00000165246"
"ENSG00000260197.1",29.8327761412992,4.82992675646484,0.346469455467878,13.9404114280216,3.59859773913452e-44,6.36176717236843e-41,"ENSG00000260197"
"ENSG00000176728.6",27.7066250354065,4.61242331142397,0.347949551999233,13.2560116399694,4.16462766560864e-40,6.83653378650127e-37,"ENSG00000176728"
"ENSG00000154620.5",37.0924565412433,4.37759541076739,0.339600583799962,12.8904236906317,5.0963052414128e-38,7.80821913720993e-35,"ENSG00000154620"
"ENSG00000229308.1",3.63490712802828,3.47890251562827,0.343656855326217,10.1231867245189,4.35984655441707e-24,6.26237459460082e-21,"ENSG00000229308"
"ENSG00000278847.1",7.14543243003309,3.09431893993209,0.355969708482999,8.69264677918481,3.54091928347754e-18,4.7869062925224e-15,"ENSG00000278847"
"ENSG00000206159.9",8.94502595264711,3.03670346352768,0.355984053730517,8.53044801222049,1.45782035502318e-17,1.86131263328571e-14,"ENSG00000206159"
"ENSG00000233070.1",13.1456639929737,2.85896466754411,0.356252408350936,8.02510972705568,1.01435235706593e-15,1.22693925632049e-12,"ENSG00000233070"
"ENSG00000229236.1",2.88060469576727,2.61332733229185,0.355994477064584,7.34092099922592,2.12129000815645e-13,2.40657750631753e-10,"ENSG00000229236"
"ENSG00000270641.1",6.01279745137194,-2.19984831570646,0.2998660687026,-7.3361028315885,2.19903087775947e-13,2.40657750631753e-10,"ENSG00000270641"
"ENSG00000241859.5",5.54950418863034,2.566024924104,0.353546343544358,7.25795916421931,3.92974141583365e-13,4.10515078266768e-10,"ENSG00000241859"
"ENSG00000141293.14",529.604218288413,-2.34475928497111,0.340963553888744,-6.87686193503309,6.11853561976295e-12,6.11374720058226e-09,"ENSG00000141293"
"ENSG00000112782.14",639.616561980284,-2.08555586040515,0.334179542027749,-6.24082446145664,4.35270504537902e-10,4.16807780637086e-07,"ENSG00000112782"
"ENSG00000080293.8",208.612357478784,-2.16820124539036,0.348712849296485,-6.2177268482209,5.0440863302787e-10,4.6369276816986e-07,"ENSG00000080293"
"ENSG00000101605.11",266.201208084361,-1.88264064691845,0.303536925682772,-6.20234471533787,5.56280636883368e-10,4.91709292186675e-07,"ENSG00000101605"
"ENSG00000188133.5",11.9569653879358,2.19394793809788,0.354328880007698,6.1918405805652,5.94656809456101e-10,5.06163066478523e-07,"ENSG00000188133"
